"Tweets","Sentimen"
"produk sesuai sempet ketar ketir barangnya diproses buyer pergi untungnya udah sampe","Negatif"
"barangnya solid build material bagus menyerap efektif menurunkan humidity ukuran kamar meter","Positif"
"wajah tersenyum lebar bermata hati","Positif"
"pesen kirim sampe","Negatif"
"barang cepat coba semoga cocok","Positif"
"packaging mantap beli item pengiriman cepat","Positif"
"cocok kulit berminyak tekstur bgus","Positif"
"pengirimannya","Tral"
"terllu bagus","Tral"
"kokoh lumayan sesuai harga kali","Positif"
"paket dikirimkan salah kalinya paket","Positif"
"tekstur padat hancur warna ketebalan gatau sekelas shopeemall segini official amanah ngirim barang hancur bener bener kecewa kali beli barang dishopee mengecewakan gunanya kalo barang dikirim udah hancur mending gausah pake","Negatif"
"shopee mall terburuk beli barang retur tanggal kejelasan barang dipesan ngomong dikirim resi","Negatif"
"admin nyebelinn kagak nyambungg judes","Positif"
"pengiriman bertanggung lancang bukain paket customer sopan apapun isinya buka buka segel tertera","Negatif"
"beli karna piece sebenernya heheheheh","Negatif"
"bahannya ringan warna dikulit","Positif"
"pesen nomor dikirim nomor haadeehh","Negatif"
"support turbo charge","Negatif"
"tonernya kadaluarsa","Tral"
"tekstur cair daya serap cepat efektivitas produk aroma aplukasiin wajah kayak getah pepaya gitu kalo aplikasiin wajah berjerawat meradang gitu duuh perih banget","Negatif"
"tekstur pensil cocok eyeliner performa","Tral"
"sampe kondisi trimakasih packing bersegel nyoba semoga cocok terimakasih","Positif"
"nyoba semoga cocok","Tral"
"tekstur kering mengental sedikiit banget ditarik seujung kuas kecewa siih","Tral"
"bandananya beda jelek bahannya","Negatif"
"curang tulisan beli hemat pencet","Negatif"
"gigi putih sehat senyum irit","Positif"
"warna nude hottie bibirku nude","Positif"
"bottle","Tral"
"beli isinya","Negatif"
"nerima barangnya menilai","Positif"
"worst official store pelayanan jelek sekelas official store pengiriman barang kurir toko pikir","Negatif"
"gisellaa tokonya amanah dikirim produk kadaluarsa dipake kulit muka mbaa order april barangsya","Negatif"
"produknya udah kadaluarsa sekelas shopee mall pelayanannya gini barang udah kadaluarsa dikirim gimana","Negatif"
"tonernya bermasalah serumnya salah alamat beli tokopedia bebas ongkir ekspedisi diubah berujung salah alamat gajadi","Negatif"
"pengemasan sangatt lamaa","Negatif"
"beli natural dikirim translucent pengiriman","Positif"
"love applicator consistency","Tral"
"power sikatnya kyknya bener sikat manual bersih","Tral"
"performa cocok orang tekstur ambune raenak blass cocok anak muda","Positif"
"kurir sellernya ngaconya dipesen dimasukin kurir estimasi sampe maksima sampe untung alamat","Negatif"
"barangnya bagus banget build qualitnya packaging kyak barang mahal cuman enak dipakai tergantung silent cepat habis baterai ngecasn","Negatif"
"cantik packagingnyaa","Tral"
"melembabkan wajah suka biar link bedaknya serumnya","Positif"
"lumayan harga flash sale pengemasannya parah dikirim plastik nutupin pdhal official spesifik pengemasannya","Negatif"
"hasilnya tahan","Positif"
"dimensi","Tral"
"celana ditulis pakai tangan celana ulang biar celana ankle sirwal toko sekelas official kaya gini","Negatif"
"jada pengirimannya lamaa","Tral"
"dusnya penyok terbuka stock sisa langganan beli kali barang dikirim mengecewakan","Positif"
"respon cepat penjual produk sesuai deskripsi produk packing rapi pengiriman cepat terima kasih","Positif"
"performa buruk tekstur padat free nipu","Negatif"
"beli dikirim","Positif"
"produk original udah pake emang gaakan ganti produk","Positif"
"coba apply kering lemâ kelupasin","Positif"
"warnanya cantik bibir pink keunguan tergantung warna bibir teksturnya ringan dipake smoga tahan","Positif"
"corong gampang patah getas beli aman pembelian patah tutup bingung dipakainya","Negatif"
"barang original sesuai deskripsi pengiriman super cepat mantabhh trims seller","Positif"
"kuteknya cepet nglupas kering dibawa aktifitas kena benda langsung nglupas mandi sinarnya udah ilang","Positif"
"barang bungkusnya penyok untung pecah","Positif"
"black black black warna","Negatif"
"barang pengiriman cepat kemasan bagus barangbbelum dicona semoga cocok bagus","Positif"
"barang dateng emang soale stok punyaku udahh langganan beli stok habis bukak kemasan seru","Positif"
"kecewa pengemasannya","Negatif"
"untung beli gatau bikin foundation hidung misah gitu kena rambut little sticky kaya pake hairspray price poin","Positif"
"packingnya paket dibuka liptinya bocor kali beli barang kecewa gini huhuhu","Negatif"
"menerima barang salah sayangnya seller bersedia membantu kurir","Positif"
"sesuai pesanan seller thanks","Positif"
"produknya pelayanannya salah masukin alamat kirim sumatra alamat jakarta langsung chat admin bayar","Negatif"
"keren bubble wrapnya friendly mineral botanica","Positif"
"great product beli paketku sempet ketuker paketnya orang kerdus tujuannya dalemnya picklistnya orang sempet keci","Negatif"
"pengiriman cepat aluminium foil segel krim bocor segaris gitu kali crosscheck","Negatif"
"cocok kulit berminyak berjerawat harga murah","Positif"
"packing bagus","Positif"
"pesanan prosesnya adminny lelet","Positif"
"sesuai pesan","Positif"
"produk sebenernya bintang seller tanyain beli beli bingung tolong reply chat bintang ubah maaf terpaks","Negatif"
"cakep woyy","Positif"
"beli dikirim ngak sesuai pesan","Positif"
"sesuai deskripsi hadiah remover makeup bohong","Positif"
"official store pelayanan buruk pesan barang kirim chat ngomongnya diproses mulu kacau jualan gitu pelayanannya bikin orang kecewa keburu pakai","Negatif"
"pesen biru hijau dikirim biru sedih","Positif"
"kali kecewa banget shopeexpress paket nerima ditulisnya terima kalo udah kali kejadian terima akunya kerja packingan buruk hancur lebur produk kecewa banget shopee tolong giniâ bikin customer kecewa kali kalo orang keep paketnya bikin orang kecewa","Negatif"
"pesen avocado dateng sesuai","Negatif"
"pengiriman cepat paket aman","Positif"
"gift blush","Tral"
"pembelian bagus packingannya aman pembelian skrng kecewa karna buka udah acakan","Positif"
"alergi produk","Positif"
"ngaruh dipakai sesuai anjuran kali","Positif"
"tertarik beli bonus serum white radiant pengen cobain pengen beralih produk kehabisan tergantung stok saran","Negatif"
"pengiriman cepat admin fast respon trus bonus","Positif"
"cepat meresap moga bgus kulit masi kasi bintang smua produk","Negatif"
"recoment toko barang kirim kurir expedisi pengirman super duper seller konsisten payah toko","Negatif"
"barang sesuai deskripsi recommended sellers berfungsi","Positif"
"lumayan halus kalo warna kulit gelap salah beli warna","Positif"
"pallate rusak","Positif"
"delivery sameday berasa reguler","Positif"
"hilang paket jebol","Negatif"
"edit ulasan pemakaian seminggu udah rusak beli udah beda tipe tertawa terbahak bahak rusak mingguan","Negatif"
"aroma lipstik enak","Positif"
"paketnya kemarin sengaja review dipakai harga paket hemat cuci muka murah sayang kulit nggak cocok pakai face wash pakai udah stop kulit panas muncul bruntusan dipipi dahi jerawat jenis kulit normal","Negatif"
"fast respon barangnya original","Positif"
"belinya diskon dateng penyok boxnya penyok","Negatif"
"pouch gambarnya ngelupas gitu krena bonus","Positif"
"pwol nyampenya overload kali","Negatif"
"beli lipmatte liptint dikirim lipmatte udah ngajuin pengembalian dana dibalikin sayang sekelas dear beauty teliti emang harga uang segitu berharga makasi","Negatif"
"sesuai pesanan","Positif"
"hasil test akurat","Negatif"
"expectation wkwkw","Tral"
"barang sesuai pesanan sedih cocok kulitku kering bikin bruntusan huhu","Negatif"
"pengiriman trouble","Tral"
"tekstur jelek performa ganyatu bbirm kering ksel buang duit doang kering gmpang ilng","Negatif"
"skrg kering banget","Tral"
"suka wanginyaa sayang banget semprotannya macet gitu pakai","Negatif"
"warna sesuai","Positif"
"bagus bngt pengiriman lumayan cepat mkasih selleer","Positif"
"produk tersegel produk bocor ngerugiin pembeli","Negatif"
"eyeshadow bbrp hancur","Positif"
"infonya barang kirim tanggal desember kabar berita pesan bundling eybrow eyeliner stamp eyebrow","Negatif"
"dikirimin taun produk krim siang","Negatif"
"bagus coverage consistency light honey toast terang warnanya salah warna pake dikit biar","Negatif"
"udah ngajuin pembatalan krna ganti produk tetep dikirim","Negatif"
"kemasan aman packaging aman barang pecah","Positif"
"belanja dsini langganan kali paket sesuai pesan","Positif"
"liat iklannya berisik pompa airnya coba tetep berisik tertawa terbahak bahak","Negatif"
"tekstur","Tral"
"cocok pinggiran mata tekstur cari performa cepet kering kuasnya beneran waterproof bingung marah seneng","Positif"
"sulit daki dioleskan digosok batu kali efektif menghilangkan daki","Negatif"
"texturenya menggumpal dipakai","Positif"
"hasil print kurg","Negatif"
"jujur krimnyaa harii","Tral"
"dateng tutup rapat tumpah","Negatif"
"jujur pigmented banget rada susah karna suka blebeerr","Positif"
"bahan sesuai harga","Negatif"
"produk dikirim sesuai pesanan pengiriman lumayan cepat pengemasan bagus pokoknya","Positif"
"pengalaman penggunaan pengemasan eyeshadownya hancur","Positif"
"cepet meresap semoga cocok","Positif"
"bagus harga menurutku reasonable","Positif"
"sound earphone enak banget earphone nyaman telinga water resist takutnya sensitif banget wanti wanti","Positif"
"kwalitas kaca bagus blur ngaca","Negatif"
"tekstur performa krek oles pecah gamulus cocok ajaa warna kutek shade nudes lihat foto warna ungu gelap banget","Positif"
"respon","Tral"
"bagus kadang suara kresek kresek jarak earphone meter","Tral"
"cerah kasih fotonya","Positif"
"order dikasih voucher expired gimana pake vouchernya","Negatif"
"nyoba semoga cocok","Tral"
"harga seratus ribuan mahal stick ukuran produk sanitizer","Negatif"
"berfungsi semestinya","Positif"
"cocok engganya pakai pake kulit gatal","Positif"
"merk masker favorit aman virus poluai nyaman dipakai harganya terjangkau kemarin bonus susu","Positif"
"pesannya yuzu cucumber isinya berserakan packingnya sembarangan udah chat admin nggk respon","Negatif"
"nyoba semoga cocok","Tral"
"dikirimin botolnya pecah","Negatif"
"cocok bagus warna sayang pecah tekstur eyeshadow bagus pecah performa pecah eyeshadow pecah kecewa banget proteksi kerusakan eyeshadow pecah","Positif"
"cocok pengiriman lamaa barang packing cakep aman","Positif"
"manfaat sunscreen kemasan wangi tidaka produknya dikemas bocor bubble wrap","Negatif"
"respon cepet packing mantab busa dkirim pketan pigmen black pdahal order tmbahan","Negatif"
"sesuai deskripsi produk tujuan aman pengemasan dibubble wrap tebal tutupnya diisolasi kencang seller responsif free ongkir","Positif"
"nyoba semoga cocok","Tral"
"coklatnya patah disimpan dipinggir coklat mencair","Positif"
"pengiriman sampah","Tral"
"kemasan barunya worth mending mudah tumpah","Negatif"
"model sich kualitas harga sesuai","Negatif"
"mohon dicek pengiriman penonton kecewa","Negatif"
"tutupnya nyangkut brushnya copot cepet patah pensilnya","Positif"
"coba semoga lengket","Negatif"
"kasih bintang produknya pengirimannya pengirimannya butuh alamat pesan barang kargo","Positif"
"pecah pengemasan parahh","Positif"
"free gift make remover boong free gift","Negatif"
"maskara favorit repeat order pengiriman cepat packaging aman","Positif"
"baguss","Positif"
"remover layout gambar contoh","Negatif"
"printer berjalan normal aplikasi online cuman program fpos milik blok hitam hasil printnya","Negatif"
"langganan belanja","Positif"
"pengalaman penggunaan nyaman dipake efek bagus tips pengguna senyamannya nyaman cantik","Positif"
"packing aman rapi","Positif"
"wangi banget kudu pokonya","Positif"
"celananya trus pake sapa","Negatif"
"beli bbrp kali sabun berihram umrah haji wangi mengotori lingkungan","Positif"
"barang original bonus bantal guling kasur piknik mantapp","Positif"
"wangi bagus","Positif"
"ceritanya menarik","Positif"
"dpet free mask","Tral"
"semoga sesuai claim cocok warnanya kulitku","Negatif"
"tekstur sesuai performa gampang lepas sesuai step","Positif"
"enak ekspedisinya anteraja kyknya hapus ekspedisi tokped jlnâ barang banyuasin bolak status dibawa kurir","Negatif"
"berasa banget jahenya keras","Positif"
"hati hati tumpah mubazir","Negatif"
"scam beli concealing datengnya lipbalm","Negatif"
"susah diblend","Positif"
"respon pengiriman cepet banget packing ntah botol patah leher botolnya untung packingnya bocor kemanaâ","Negatif"
"produk sangatâ recomended tipe kulit kering pemakaian produk kulit terhidrasi","Positif"
"berkali kali beli sepatu puma official store puas produk pelayanannya terima kasih puma","Negatif"
"packagingnya","Positif"
"pengiriman cepat tinta dicoba","Tral"
"warna cantik tekstur cair ketahanan tahan beli promo harga syang pakai slama saran harganya murah minimal jual pling","Positif"
"beli dikirim","Positif"
"bulky ukuran produknya sikat mascaranya sulit gampang meleber semoga diperbaiki depannya kualitas warna","Negatif"
"kaku sarung tangannya","Tral"
"respon respon pengiriman jadwal molor","Tral"
"lupa video unboxing pesan barang diterima salah customer lupa videoin","Negatif"
"pakai langsung habis","Negatif"
"desc dikirim selisih taunan bener salah desc produk dikirim","Negatif"
"paket isinya tinggal separuh bocor rembes udah packing kerdus bubble bocor kurir bagus menawarkan return tolak","Negatif"
"proses seller dikirim batas pengiriman barang dikirim packing seadanya tolong serius mengelola toko online","Negatif"
"beli extream extream beli kali teruji pakai drone extream stiker","Negatif"
"warna dikirim sesuai","Positif"
"beli cleansing foam greentea gaada dikasih bonus black ampoule","Positif"
"bedaknya blend kulit","Positif"
"kecewa pesan dikirim beda ukuran","Negatif"
"baunya powder room enak hibiscus lipstik bagus","Negatif"
"pengiriman aman nyampe udah kebuka","Negatif"
"bubble wrap lapis nyampe bedak pecah hancur","Negatif"
"varian lemon bikin kulit keliatan cerah pakai mask sheet holika varian lemon berpaling","Positif"
"kondisi barang warnanya bagus thanks","Positif"
"pump kepanjangan ditutup packing rapih penutup botol terpisah","Negatif"
"suara bagus","Tral"
"barangnya bagus","Positif"
"kecewa pelayanan tertarik beli gambar keterangan bayar lihat review kecewa","Negatif"
"packaging aman sound aman dateng mulus cuman adminnya slowresp","Positif"
"semoga cocok kali coba exfo","Positif"
"berguna memasang berambut gondrong melonggarkan karetnya","Tral"
"packing rapi aman barang diterima sesuai keterangan seller responsif","Positif"
"pengiriman lumayan cepat live sale expired lumayan wangi","Positif"
"langganan","Positif"
"tahan tintnya","Negatif"
"barang diterima terima kasih bonusnya","Negatif"
"udah konfirmasi ketersediaan stock dibilang ready dicek barang habis diganti stock pengiriman","Positif"
"produk pribadi produk melembapkan menyehatkan bibir wanginya wangi nyaman diaplikasikan warnanya","Positif"
"paket mendarat aman emang cocok pake","Positif"
"barang sesuai pesanan kurirnya kirim barang","Negatif"
"lumayan harga murah berkat flash sale terima kasih cetaphil indonesia produk cocok banget kulit","Positif"
"nempel digelas minum kirain","Tral"
"barang diterim dicoba pemakaian wajah dapet bonus sponseâ terima kasih","Positif"
"tekstur padat performa cocok ombre lipstik dipakai patan","Negatif"
"cute packaging nyaa luvv dehh","Positif"
"pengalaman penggunaan kemasan bagus penyok untungnya manfaat membersihkan komedo","Positif"
"berat badan cenderung timbangan","Positif"
"pelayanan bagus tapii opsi kurir tersedia cuman gitu proses pengirimannya lumayan tolong diperbanyak opsi kurirnya","Negatif"
"kecewa banget packingnya bubble wrapnya kardusnya penyok trus buka tutup krimnya rapat terbuka sayang upload video krimnya rusak jujur kecewa official storenya beli resellernya packingny aman rapi","Negatif"
"semoga berkhasiat melawan jerawat","Tral"
"kecewa produknya terima kasih seller","Positif"
"udah langganan udah habis bbrp botol komedo terangkat","Positif"
"produknya gausah diragukan pengirimannya","Positif"
"aplikator mudah dipakai nggak menggumpal","Positif"
"tekstur cair performa bagus cocok traveling parfum trus beli coba beli suka produk revlon thanks seller shopee","Positif"
"mantul diproses puas","Positif"
"pengiriman banget sampe bocor","Negatif"
"seminggu karna penjual reschedule jadwal pick","Positif"
"ringan texturnya kulit kusem skin tone kalo kulit kuning langsat pucat","Negatif"
"belinya rupiah packingnya niat banget makasih inezz","Negatif"
"suka banget kemasannya kokoh cantik simple spacey enak dibawa serumnya cair bening berbau kali dipake kaya panas","Positif"
"mantap sesuai pesanan bagus sekalii cocok diwajah","Negatif"
"proses cepat pengiriman","Positif"
"sempit susah dimasukan pake akal pasangnya","Positif"
"sunguh menyecewakan murah rugi diongkir","Positif"
"pelayanan toko kurir pengiriman fast delivery respons good luck","Positif"
"wangi pakai smoga cocok rambut rontok","Positif"
"penjual menghargai konsumen nilai barang murah pengemasan kaleng pengiriman terbilang cepat sukses","Positif"
"barang aroma bahan plastik semiga awet","Positif"
"mantap logitech mengecewakan","Negatif"
"udah coba baguss enak bibir kering mint dingin","Positif"
"tips pengguna oles hasilnya pengalaman penggunaan ringan dibibir profil kecantikan lipstik murce kualitas bagus terimakasih respon pengiriman cepat","Positif"
"pengalaman penggunaan kali make semoga cocokk wangi jujur wanginya hidung kaya obat muka baguss manfaat mengontrol minyak berlebih beli murah banget wwkwkwk dapet voucher gede semoga cocok nerima paketnya kardusnya kebuka tapii amann tenangg cuman kebuka dikit segel facial wash nyaa","Negatif"
"kualitas vokal bagus banget pasa monitoring voice berkarakter banget cocok banget content creator butuh budget maling recommended bang","Positif"
"barangnya sempet ekspedisi ngga tumben banget komplen lacak kalo diem sampe skrg kyknya sampe","Negatif"
"pakai sebulan rusak","Negatif"
"cocok banget pake sunscreen tekature ringan lembut kulit wajah","Positif"
"mantapmantap","Tral"
"terlambat parah mestinya sameday days","Negatif"
"mantapp banget packingannya banget recommend pokoknya","Negatif"
"kalo produk nacific kecewa tolong pengirimannya order tanggal keterangan estimasi barang anta","Negatif"
"nyoba semoga cocok","Tral"
"dipakai lengket cepat meresap mudah","Negatif"
"nggak sesuai chart nggak tukar ukuran","Negatif"
"emang maskernya wangi banget asli palsu pake kemuka panas cekit cekit gatel telinga knpaâ pokokn","Negatif"
"barang sesuai gambar pesanan packing stiker fragile produknya inovasi kotak shadownya berantakan sepe","Positif"
"nyerap muka","Positif"
"wajib beli busui","Tral"
"pesan kirim kurir","Positif"
"ukuran tube aneh kyak udah kepake wangi rose lumayan kuat cuman knpa clekit","Negatif"
"salicylic acid jaya jaya jaya","Tral"
"proses cepat coba night cream pake cream cocok wajahku","Negatif"
"lupa kali beli love","Negatif"
"smua green tree","Positif"
"warna kuteknya bagus pecah botolnya karna kasi buble kardus kali beli revlon official","Negatif"
"deskripsi produk sesuai freenya sdgkan deskripsi tertulis komplain lihat respon penjual alasan","Negatif"
"model bagus tombol keras pake micro type trima call suara keras notifikasi pencet tombol pdhl voleme","Negatif"
"barang sedih dilempar kurir menyebabkan botol pecah isinya habis","Positif"
"pesanan menunggu","Positif"
"krng cocok muka muncul jrawat","Positif"
"isinya tumpah","Negatif"
"seller amanah produk dikirimkan sesuai respon kalo complain doang ikhlas semoga allah balasan","Negatif"
"makasih sesuai pesanan","Positif"
"bahanya ringan adem","Negatif"
"bagus cuman rada kesel sameday dichat berubah sameday nyampenya","Negatif"
"packing ngga bangett untung pecah semoga cocok","Positif"
"pengemasan kirim rapih pake kardus bubble wrap sekelas safi kemasan satuannya sprti semoga isinya cocok karna coba","Negatif"
"pengalaman penggunaan transferproof stain profil kecantikan jenis warna kulit efek glossy cream poster tertulis warna nude peach warm undertone campuran warna mauve swatch oleskan bibir warna berubah fuschia cool undertone wkwkwk gonjreng donk stainnya warna merah keunguan gitu cakep hemat ombre pengalaman pake menit transferproof transferproof tunggu menit pakai makan berminyak transferproof meninggalkan stain besok pagi","Positif"
"trima blon coba","Positif"
"pemb kulit terlindungi bikin kulit alergi mencerahkan kulit","Positif"
"talinya putus mulu ntah pake kualitas berkurang sblm","Negatif"
"cocok bagus performa mantap","Positif"
"barang bagus mengecewakan recommended pelayanan buruk parah berhari biarkan kaga kirim pelayanan mengecewakan","Negatif"
"kemasan bagus aman good sesuai manfaat banget tips pengguna tratur","Positif"
"menerima produk komunikasi kurir produk","Positif"
"sabun baunya kaya minyak kayu putih samar gitu penggunaan tetes bersihin muka bersihin rambut cuman rambutnya kaya","Negatif"
"kualitas bagus kualitas jelek","Negatif"
"barang cepat baca deskripsi lihat tinggal","Negatif"
"bulu mataku pendek ngefek siih","Negatif"
"sesuai pesanan kali kecewa ulang sblum mengirim terima kasih","Negatif"
"tekstur bagus daya serap bagus efektivitas bagus produknya bagus sellernya bagus","Negatif"
"diterima kondisi varian salmon rice kandungan salmonnya ukuran anabul lumayan suka diskonnya","Positif"
"produk bagus repeat order pengiriman cepat sedihnya delay pengiriman order kali semoga kedepannya delay","Positif"
"warnanya bagus","Positif"
"suka teksturnya cepet ilang","Positif"
"nyoba semoga cocok","Tral"
"kemasannya bagus kualitas produknya bagus sampe stripnya habis bulu betis keangkat bagus sabar nunngu hehee","Negatif"
"pengiriman seller","Tral"
"tidk bungkusnya rumah sobek","Positif"
"lipstik hilang dibibir kecewa sesuai expektasi warnax cantik sihdesainnya mewah","Negatif"
"paket bahan kenyaman model jahitan pengiriman doang telat penjual responsif bagus","Negatif"
"semoga cocok pake kmren emina kuning","Positif"
"barangnya hancur","Negatif"
"bbrp kali beli kesini packing aman dusnya buble wrap gini kemasan penyok sobek diperhatikan menurun kualitas","Negatif"
"responnya luamaa bingitss trus kirim salah","Negatif"
"cocok kulit sawo matangku diombre","Negatif"
"pengiriman lambat kualitas","Positif"
"tumpah stgh tutup longgar","Negatif"
"produk sesuai ekspektasi kado ultah","Negatif"
"pink banget bedaknya warna asli produk beda katalog gambar shadenya kuning sedih cocok skin tone gabisa dipake","Negatif"
"packaging bagus produk bagus","Positif"
"dipake layar udah mati ganti unit gabisa karna ketentuan return udah dapet barang defect karna","Positif"
"barang harga pengiriman lelet respon penjual banget maaf jujur dosa","Negatif"
"enakeun dibawa kemana makan dempul banget kalo kulit kering setting spray glowing coba mantul","Positif"
"pengirimannya produknya sesuai ekspektasi","Negatif"
"diterima thxx","Tral"
"seller responsif bonus sesuai","Positif"
"barang jelek","Negatif"
"pengiriman cepat aman aoma jeruk kayumanis warm scent fresh scent","Positif"
"baca vacum mobil alhasil beli adaptornya","Negatif"
"efektivitas daya serap kenyamanan komedonya","Negatif"
"salah shade keset kena oksidasi packingnya safety pake kardus gede isinya micellar water mantep","Negatif"
"yaallah semoga penjualnya dikasi rezeki kalo niat jualan gamungkin dikasihnya bagus kalo kaya gini kecewa banget","Negatif"
"sampe tube udah rada peyot karna segelnya kali nyobain","Positif"
"tinted serumnya enak bangeett nyaman bibir ngelembapin brasa semriwing mint pigmented suka suka suka beli shade","Positif"
"produk pengirimannya penjual status barang pergerakan pembeli disuruh kurir pelayanan officia","Negatif"
"baguss bgtt","Positif"
"barang dibilang diterima bermasalah kurir virtual message tokopedia menyediakan komunikasi arah penjual pembeli","Positif"
"membersikan lensa bersih baunya tajam menganggu","Tral"
"mantap","Positif"
"date sesuai deskripsi biskuit enak packing aman","Positif"
"seller ramah packing aman barang sesuai deskripsi update reviewnya pasang lensa plus terimakasih","Positif"
"packing aman remuk beli bundle","Positif"
"tekstur cair cocok wajah performa tauu nyoba murahh","Positif"
"tekstur warna sesuai ketebalan check produk tetiba produk dikirim medan like what cancel produk harga produk dikirim medan ongkirnya confirmation seller doesnt help anything please watch kalo pesen pdhl mall","Negatif"
"botolnya mungil travelling enak gampang bawanya cobain semoga cocok sesuai claim bagus thanks seller","Negatif"
"dikasih cashback kirim produknya cacat tulisan gambar ilang ditempeli stiker lakban trus ditarik","Negatif"
"pesanan sesuai dikirim bngt bintang kali","Positif"
"penjual quick responâ barang bagus banget","Tral"
"coba","Positif"
"minggu","Negatif"
"paket kualitas ringan mudah meresap sesuai deskripsi thank seller","Positif"
"pengiriman melebihi estimasi seller respon chat","Positif"
"kurirnya sopan banget paketnya dilempar buang karung didepan rumah emang pikir rumah pembuangan sampah","Positif"
"barang bagus pengiriman bener sory bintang","Negatif"
"bagus kulit kering cepet meresap","Positif"
"pengiriman produk original","Positif"
"kemasan bagus pengalaman penggunaan nyoba moga ccok","Positif"
"udah nyobain versi mini cocok nais","Positif"
"packing aman warna bagus cocok kukit sawo matang pucat pengirimannya","Negatif"
"lembab cepat meresap merawat kulit sensitif alhamdulillah tahunan pemakaian cocok","Positif"
"barang sesuai pesanan","Positif"
"pengalaman penggunaan ringan pengaplikasikan wajah tips pengguna produk sesuai kulit muka efek natural pengiriman cepat produk aman next time semoga makasi seller","Positif"
"fragile packaging that makes product damaged","Positif"
"packing bagus dgunakan","Positif"
"bagus bedak taburnya bikin glowing nempel bikin crack nyatu wajah pake primer genks makasi seller","Positif"
"tekstur meresap wangi enak wanginya soft dipake kayak tembok","Positif"
"mntepp","Tral"
"berlangganan kali proses packing langsung diterima","Negatif"
"order kardus penyok kali packing sebagus sblmnya beli bbrp kali official store penjual order","Positif"
"performa dicoba cocok kulit tekstur dicoba pembelian semoga cocok pengiriman pengemasan","Positif"
"harum busa","Positif"
"sesuai hrga promo barang aman mksh kurirr","Positif"
"efektif","Positif"
"beli promo free cleanser beli paket terpisah engga promo engga stock","Positif"
"anjing husky suka produk suka luarnya habis dimakan","Negatif"
"tumbler sesuai iklan","Negatif"
"luntur","Tral"
"bagus cuman kayanya diperhatiin ngga rapih","Negatif"
"ngga diterima produknya buka kardus seller investigasi kurir ngga unboxing gimana unboxing ngga buka","Negatif"
"kapok kapok","Negatif"
"warnanya bagus moist banget","Positif"
"hasilnya tahan aplikator mudah dipakai cocok kulit gelap desainnya mewah hasilnya glossy desainnya lucu hasilnya matte","Positif"
"cocok wajah performa tekstur cair bagus","Positif"
"maaf kasi bintang produknya dikirim","Negatif"
"bocor video unboxing durasi diupload semoga pakingnya bener rapih","Negatif"
"lembut small pegangannya enak cpcok buatku","Positif"
"pengalaman penggunaan kali pake pake series acne cocok","Positif"
"joss","Tral"
"pesan sblm pilih sameday butuh cepat barang diterima penjelasan mengecewakan lacak pengiriman","Negatif"
"kirain formula dateng formula","Positif"
"barang baterainya habis penuh barang menyala berkedip berkali hati proses qcnya","Positif"
"cocok sawo matang fiendly performa tekstur creamy padat cenderung kering creamy padat cenderung kering ndak teksturnya produk cacat easy blend butuh effort banget itupun pakai spons blender dibasahi produk suka keangkat ditap cenderung patchy pdhl pakai moisturizer cushion","Tral"
"resapan rembes","Tral"
"kasih bintang dikirimin kualitasnya","Positif"
"plastik kemasan tipis","Positif"
"cocok","Tral"
"beralih variant biru pakai perfect purifying semoga bagus cocok ngilangin bekas jerawat mantap banget pengirimannya","Positif"
"terima kasih barang diterima sukses lapak jualannya","Positif"
"ukuran beda foto foto","Tral"
"garnier packaging tumpah minim bubble warp packaging aneh dichat bales ujung disuruh refund barang butuh barang smpe butuh pelayanan","Negatif"
"alhamdulillah nunggu barang banget beli","Positif"
"barang sesuai pesanan barang cepat tujuan rekomendasi seller","Positif"
"coverage medium wanginya","Positif"
"packaging aman packaging rapi dicoba","Positif"
"overall material desain tasnya bagus cuman kalo zippernya diganti bagus susah kalah kokoh kualitasnya baha","Negatif"
"performa bagus cocok tekstur lembut pengemasan estimasi shopee express hemat kategori cepat next kalo dikemas klik dikemas barang dibutuhin","Negatif"
"harga sebagus","Positif"
"penyok","Negatif"
"berfungsi","Positif"
"kecele isinya pantes hrgnya didisc","Negatif"
"respon proses lumayan produk kredibilitasnya","Positif"
"pengemasan bangeett sebelaahh barangnya sukanya dibagian pengemasan doang lamaa","Negatif"
"bahannya halus ngepas tutup jdinya awkward wktu dibuka tutup ketarik posisi ketutup sempurna","Negatif"
"pesan item item bedak kurg teliti konfirmasi barang lgsg tekan selesai","Negatif"
"mudah cocok tipe kulitku sensitif","Positif"
"pengalaman penggunaan beli toko kosmetik bgus bget beli tergoda diskon masker beda beli toko tekstur beda warna charcoal kemasan kemasan bagus barang mengecewakan kayak palsu gitu bikin trauma beli skincare online","Negatif"
"harganya murah pembelian sandalnya tipis ngga sebagus","Positif"
"packing rapih niat buka paket kepotong barangnya saran pengemasannya buntel doang","Negatif"
"sesuai pesan","Positif"
"free kacamata dpet","Tral"
"cocok sunscreen enak dipakai muka kombinasi","Negatif"
"formulanya ringan coveragenya bagus kulit kering","Positif"
"efek","Positif"
"sempet komplain krna pengiriman dibatalin paket sore magrib sampe overall bagus barangnya mksh bintang","Negatif"
"performa bagus rusak tekstur creami cocok bibir","Positif"
"bahan alami bahan pengawet nggak memicu alergi nggak lengket proses pesanan cepat","Negatif"
"netes tetep kecium aromanya","Negatif"
"date","Positif"
"order mohon review sistem ekspedisinya","Negatif"
"suka banget formula warnanya makasih revlon giftnya","Positif"
